h,En,Sz_0,Sz_1,Sx_0,Sx_1
0,-1,-0.935196,-0.934531,3.70534e-17,1.66521e-18
0.1,-1.0025,-0.996606,-0.995584,0.050064,0.0500126
0.2,-1.01002,-0.99484,-0.994771,0.100518,0.100511
0.3,-1.0226,-0.988263,-0.989119,0.151784,0.151916
0.4,-1.04033,-0.97839,-0.978956,0.204356,0.204475
0.5,-1.06334,-0.964535,-0.964076,0.258858,0.258735
0.6,-1.09181,-0.945392,-0.944619,0.316145,0.315886
0.7,-1.12601,-0.918473,-0.918552,0.377509,0.377541
0.8,-1.16711,-0.87943,-0.879098,0.444477,0.444309
0.9,-1.21542,-0.811757,-0.81156,0.522553,0.522426
1,-1.27217,-0.429493,-0.429175,0.635983,0.635513
1.1,-1.34123,-6.27115e-05,-6.27751e-05,0.737851,0.7386
1.2,-1.41767,-1.11462e-07,-1.11379e-07,0.791865,0.791274
1.3,-1.49105,-2.23002e-10,-2.23396e-10,0.82643,0.827889
1.4,-1.57462,-5.80195e-14,-5.76206e-14,0.8537,0.855997
1.5,-1.66072,1.66144e-14,1.65423e-14,0.874594,0.876646
