h,En,Sz_0,Sz_1,Sx_0,Sx_1
0,-1,-1,-1,-1.36179e-15,-6.25506e-16
0.1,-1.0025,-0.998744,-0.998744,-0.050064,-0.050064
0.2,-1.01002,-0.994907,-0.994908,-0.100518,-0.100518
0.3,-1.0226,-0.988265,-0.98827,-0.151784,-0.151785
0.4,-1.04033,-0.97839,-0.978405,-0.204356,-0.204359
0.5,-1.06334,-0.964535,-0.964573,-0.258858,-0.258868
0.6,-1.09181,-0.945392,-0.94547,-0.316145,-0.31617
0.7,-1.12601,-0.918473,-0.918614,-0.377509,-0.377566
0.8,-1.16635,-0.87826,-0.878494,-0.445174,-0.445293
0.9,-1.21572,-0.812181,-0.812187,-0.522416,-0.522419
1,-1.27272,-0.10252,-0.102521,-0.636702,-0.636711
1.1,-1.34206,-1.75619e-06,-1.75622e-06,-0.738257,-0.738271
1.2,-1.41089,-4.21718e-10,-4.22338e-10,-0.789379,-0.790542
1.3,-1.49105,-2.12813e-14,-2.12053e-14,-0.82643,-0.827788
1.4,-1.57462,1.56265e-14,1.4988e-14,-0.8537,-0.855209
1.5,-1.66072,1.8063e-14,1.75415e-14,-0.874594,-0.876224
1.6,-1.74878,-6.98087e-15,-6.99441e-15,-0.891061,-0.892789
1.7,-1.83839,-1.76173e-14,-1.83187e-14,-0.904321,-0.906127
1.8,-1.92926,1.44034e-15,1.55431e-15,-0.915183,-0.917055
1.9,-2.02116,4.43166e-15,4.21885e-15,-0.924209,-0.926135
2,-2.11392,2.32655e-15,2.9976e-15,-0.931801,-0.933771
