h,En,Sz_0,Sz_1,Sx_0,Sx_1
0,-1,-1,1,-4.44089e-16,-1.48294e-33
0.1,-1.0025,-0.998744,0.998744,-0.050064,-0.050064
0.2,-1.01002,-0.994907,0.994908,-0.100518,-0.100518
0.3,-1.0226,-0.988265,0.98827,-0.151784,-0.151785
0.4,-1.04033,-0.97839,0.978405,-0.204356,-0.204359
0.5,-1.06334,-0.964535,0.964573,-0.258858,-0.258868
0.6,-1.09181,-0.945392,0.94547,-0.316145,-0.31617
0.7,-1.12601,-0.918473,0.918614,-0.377509,-0.377566
0.8,-1.16635,-0.87826,0.878494,-0.445174,-0.445293
0.9,-1.21572,-0.812181,0.812187,-0.522416,-0.522419
1,-1.27272,-0.102502,0.102503,-0.636702,-0.636711
1.1,-1.34206,-1.75593e-06,1.75596e-06,-0.738257,-0.738271
1.2,-1.41089,-4.21599e-10,4.22221e-10,-0.789379,-0.790542
1.3,-1.49105,-1.1084e-15,9.99201e-16,-0.82643,-0.827788
1.4,-1.57462,8.86611e-16,-3.33067e-16,-0.8537,-0.855209
1.5,-1.66072,1.4406e-15,-2.22045e-16,-0.874594,-0.876224
1.6,-1.74878,5.20795e-15,-6.88338e-15,-0.891061,-0.892789
1.7,-1.83839,-1.10801e-16,-1.11022e-16,-0.904321,-0.906127
1.8,-1.92926,1.10796e-16,-1.55431e-15,-0.915183,-0.917055
1.9,-2.02116,1.3295e-15,-2.22045e-16,-0.924209,-0.926135
2,-2.11392,-1.10788e-16,7.77156e-16,-0.931801,-0.933771
